variable,var,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,Prop_iv,Max_IV_test,IV_test,breaks,is_special_values,counter,num_bin,Trend,Trend_Business,Gini_train,Gini_oot,Relative_diff,keep
D_1_TXNS,D_1_TXNS_woe,"[-inf,2.0)",1711,0.509377791009229,1321,390,0.22793687901811807,0.17525207945036148,0.016472717878658658,0.036953228664510354,0.4457720874192233,0,0,2.0,False,1,3,Decreasing,Decreasing,0.09800096237171152,0.06636205976520815,0.3228459449643201,1
D_1_TXNS,D_1_TXNS_woe,"[2.0,23.0)",1390,0.4138136350104198,1152,238,0.1712230215827338,-0.18173452273536708,0.012923692911549543,0.036953228664510354,0.349731089233926,0,0,23.0,False,2,3,Decreasing,Decreasing,0.09800096237171152,0.06636205976520815,0.3228459449643201,1
D_1_TXNS,D_1_TXNS_woe,"[23.0,inf)",258,0.07680857398035129,219,39,0.1511627906976744,-0.3302604388378597,0.00755681787430215,0.036953228664510354,0.2044968233468506,0,0,inf,False,3,3,Decreasing,Decreasing,0.09800096237171152,0.06636205976520815,0.3228459449643201,1
AVG_TRXNS_AMT_L2MONTH_DAILY,AVG_TRXNS_AMT_L2MONTH_DAILY_woe,"[-inf,4000.0)",1969,0.5861863649895802,1503,466,0.2366683595733875,0.22421688922166608,0.03146429411264227,0.09145403771387156,0.3440448874557436,0,0,4000.0,False,1,3,Decreasing,Decreasing,0.14891365609914198,0.1691302027748134,0.1357726438930249,1
AVG_TRXNS_AMT_L2MONTH_DAILY,AVG_TRXNS_AMT_L2MONTH_DAILY_woe,"[4000.0,14000.0)",767,0.22834176838344744,645,122,0.1590612777053455,-0.2699796272135212,0.015305216764031545,0.09145403771387156,0.16735419393855894,0,0,14000.0,False,2,3,Decreasing,Decreasing,0.14891365609914198,0.1691302027748134,0.1357726438930249,1
AVG_TRXNS_AMT_L2MONTH_DAILY,AVG_TRXNS_AMT_L2MONTH_DAILY_woe,"[14000.0,inf)",623,0.18547186662697232,544,79,0.12680577849117175,-0.5342517495399264,0.04468452683719775,0.09145403771387156,0.48860091860569754,0,0,inf,False,3,3,Decreasing,Decreasing,0.14891365609914198,0.1691302027748134,0.1357726438930249,1
AVG_CREDIT_TRXNS_CNT_L1MONTH_DAILY,AVG_CREDIT_TRXNS_CNT_L1MONTH_DAILY_woe,"[-inf,0.4)",1459,0.43435546293539745,1117,342,0.23440712816997944,0.2116585828423991,0.02070243032924269,0.05719565932110604,0.36195806770957506,0,0,0.4,False,1,4,Decreasing,Decreasing,0.11804591760583305,0.11443436499466397,0.030606378060754898,1
AVG_CREDIT_TRXNS_CNT_L1MONTH_DAILY,AVG_CREDIT_TRXNS_CNT_L1MONTH_DAILY_woe,"[0.4,1.8)",1260,0.3751116403691575,1028,232,0.18412698412698414,-0.0933834294998057,0.003179344101453426,0.05719565932110604,0.055587157123306405,0,0,1.8,False,2,4,Decreasing,Decreasing,0.11804591760583305,0.11443436499466397,0.030606378060754898,1
AVG_CREDIT_TRXNS_CNT_L1MONTH_DAILY,AVG_CREDIT_TRXNS_CNT_L1MONTH_DAILY_woe,"[1.8,4.800000000000001)",462,0.13754093480202442,387,75,0.16233766233766234,-0.24568693464447663,0.007693811330659488,0.05719565932110604,0.1345173990820726,0,0,4.800000000000001,False,3,4,Decreasing,Decreasing,0.11804591760583305,0.11443436499466397,0.030606378060754898,1
AVG_CREDIT_TRXNS_CNT_L1MONTH_DAILY,AVG_CREDIT_TRXNS_CNT_L1MONTH_DAILY_woe,"[4.800000000000001,inf)",178,0.05299196189342066,160,18,0.10112359550561797,-0.7895524124886675,0.02562007355975043,0.05719565932110604,0.44793737608504575,0,0,inf,False,4,4,Decreasing,Decreasing,0.11804591760583305,0.11443436499466397,0.030606378060754898,1
