Model_no,variable,Num_factors,Coef.,Std.Err.,z,P>|z|,Max_pvalue,[0.025,0.975],sign,sign_max,VIF,VIF_max,dev_gini,oot_gini,Relative_diff,var,Gini_train,Trend,sum_gini,Factor_weight,ACTIVATION_AGE,ACTIVE_DAYS,AMT_RECOVERED_0TO30_3MNTH_AVG_MONTHLY,AVG_CREDIT_TRXNS_CNT_L1MONTH_DAILY,AVG_CREDIT_TRXNS_CNT_L1MONTH_MONTHLY,AVG_CREDIT_TRXNS_CNT_L2MONTH_DAILY,AVG_TRAN_SIZE_1_MNTH_MONTHLY,AVG_TRXNS_AMOUNT_L1MONTH_DAILY,AVG_TRXNS_AMOUNT_L1MONTH_MONTHLY,AVG_TRXNS_AMT_L2MONTH_DAILY,AVG_TRXNS_AMT_L3MONTH_DAILY,AVG_TRXNS_AMT_L3MONTH_MONTHLY,AVG_TRXNS_AMT_L6MONTH_MONTHLY,AVG_TRXNS_CNT_L1MONTH_DAILY,CREDIT_EXTENDED_3MNTH_AVG_DAILY,CREDIT_EXTENDED_3MNTH_AVG_MONTHLY,CREDIT_EXTENDED_LAST_MONTH_VALUE,CREDIT_RECOVERED_3MNTH_AVG_MONTHLY,CREDIT_RECOVERED_3MNTH_SUM,CREDIT_RECOVERY_RATIO_3_MNTH,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_DAILY,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_MONTHLY,DEBIT_AMNT,FULL_SETTLED_TRXNS_3_BY_12,UNSETTLED_TRXNS_OVERALL_AVG_DAILY
109231,const,5,-1.3778287303012322,0.045010287688136204,-30.611417990656385,8.626550302319255e-206,0.010900114392122896,-1.4660472731037657,-1.2896101874986987,0,0,,1.3276958298443922,0.25787496296428314,0.2528948772678763,0.019310142289285938,,,,0.5259222171974933,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
109231,AVG_TRAN_SIZE_1_MNTH_MONTHLY_woe,5,0.6630438072164461,0.2604374711592016,2.5458848308780313,0.010900114392122896,0.010900114392122896,0.15259574351972194,1.1734918709131703,0,0,1.1463115792258456,1.3276958298443922,0.25787496296428314,0.2528948772678763,0.019310142289285938,AVG_TRAN_SIZE_1_MNTH_MONTHLY,0.08596407591152433,Decreasing,0.5259222171974933,0.16345397304111847,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
109231,UNSETTLED_TRXNS_OVERALL_AVG_DAILY_woe,5,1.2308846207100623,0.2839890587641361,4.334267756886929,1.462460873622113e-05,0.010900114392122896,0.6742762935289266,1.787492947891198,0,0,1.0262080865341225,1.3276958298443922,0.25787496296428314,0.2528948772678763,0.019310142289285938,UNSETTLED_TRXNS_OVERALL_AVG_DAILY,0.060702932337694415,Increasing,0.5259222171974933,0.11542188246232496,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
109231,FULL_SETTLED_TRXNS_3_BY_12_woe,5,0.5927935273588733,0.14165391146511516,4.1848016848081135,2.8541516506099863e-05,0.010900114392122896,0.3151569626180221,0.8704300920997243,0,0,1.2088633772179567,1.3276958298443922,0.25787496296428314,0.2528948772678763,0.019310142289285938,FULL_SETTLED_TRXNS_3_BY_12,0.1357166884611185,Decreasing,0.5259222171974933,0.2580546780934992,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
109231,ACTIVATION_AGE_woe,5,0.8039970423908388,0.21947858137610987,3.663214138481549,0.00024907014900198116,0.010900114392122896,0.37382692751572,1.2341671572659576,0,0,1.0208548525732162,1.3276958298443922,0.25787496296428314,0.2528948772678763,0.019310142289285938,ACTIVATION_AGE,0.08113550951121762,Decreasing,0.5259222171974933,0.15427283133914413,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
109231,CREDIT_EXTENDED_LAST_MONTH_VALUE_woe,5,0.6845878124426729,0.16423155507101914,4.168430434374408,3.06704336660473e-05,0.010900114392122896,0.36269987937846887,1.006475745506877,0,0,1.3276958298443922,1.3276958298443922,0.25787496296428314,0.2528948772678763,0.019310142289285938,CREDIT_EXTENDED_LAST_MONTH_VALUE,0.16240301097593846,Decreasing,0.5259222171974933,0.30879663506391325,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
103138,const,5,-1.3565324931565905,0.04603922982905426,-29.464708645071976,8.15875724085068e-191,0.012236995487195573,-1.446767725497499,-1.266297260815682,0,0,,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,,,,0.5979831406733485,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
103138,AVG_TRAN_SIZE_1_MNTH_MONTHLY_woe,5,0.8213331615324985,0.26286316312298746,3.1245654650675267,0.0017806789356509553,0.012236995487195573,0.30613082894916577,1.3365354941158312,0,0,1.1718023950601824,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,AVG_TRAN_SIZE_1_MNTH_MONTHLY,0.08596407591152433,Decreasing,0.5979831406733485,0.14375668821486504,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
103138,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_DAILY_woe,5,0.8503090355109892,0.21462870583462215,3.961767519421087,7.439696234699931e-05,0.012236995487195573,0.4296445020266881,1.2709735689952903,0,0,1.1944719397117394,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_DAILY,0.13276385581354955,Decreasing,0.5979831406733485,0.2220193961723622,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
103138,FULL_SETTLED_TRXNS_3_BY_12_woe,5,0.3724274958967731,0.1486596871281831,2.5052353001096006,0.012236995487195573,0.012236995487195573,0.0810598631725416,0.6637951286210046,0,0,1.3347268819463582,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,FULL_SETTLED_TRXNS_3_BY_12,0.1357166884611185,Decreasing,0.5979831406733485,0.22695738262503037,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
103138,ACTIVATION_AGE_woe,5,0.713881149804211,0.21973291452206067,3.248858512421629,0.0011586909531858013,0.012236995487195573,0.2832125511229539,1.144549748485468,0,0,1.0211551062419248,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,ACTIVATION_AGE,0.08113550951121762,Decreasing,0.5979831406733485,0.13568193481150054,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
103138,CREDIT_EXTENDED_LAST_MONTH_VALUE_woe,5,0.5506160916901496,0.16399481470085805,3.3575213502605252,0.0007864466956442213,0.012236995487195573,0.22919216122514802,0.8720400221551512,0,0,1.328100185783104,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,CREDIT_EXTENDED_LAST_MONTH_VALUE,0.16240301097593846,Decreasing,0.5979831406733485,0.27158459817624186,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
105169,const,5,-1.3565324931565905,0.04603922982905426,-29.464708645071976,8.15875724085068e-191,0.012236995487195573,-1.446767725497499,-1.266297260815682,0,0,,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,,,,0.5979831406733485,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
105169,AVG_TRAN_SIZE_1_MNTH_MONTHLY_woe,5,0.8213331615324985,0.26286316312298746,3.1245654650675267,0.0017806789356509553,0.012236995487195573,0.30613082894916577,1.3365354941158312,0,0,1.1718023950601824,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,AVG_TRAN_SIZE_1_MNTH_MONTHLY,0.08596407591152433,Decreasing,0.5979831406733485,0.14375668821486504,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
105169,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_MONTHLY_woe,5,0.8503090355109892,0.21462870583462215,3.961767519421087,7.439696234699931e-05,0.012236995487195573,0.4296445020266881,1.2709735689952903,0,0,1.1944719397117394,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_MONTHLY,0.13276385581354955,Decreasing,0.5979831406733485,0.2220193961723622,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
105169,FULL_SETTLED_TRXNS_3_BY_12_woe,5,0.3724274958967731,0.1486596871281831,2.5052353001096006,0.012236995487195573,0.012236995487195573,0.0810598631725416,0.6637951286210046,0,0,1.3347268819463582,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,FULL_SETTLED_TRXNS_3_BY_12,0.1357166884611185,Decreasing,0.5979831406733485,0.22695738262503037,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
105169,ACTIVATION_AGE_woe,5,0.713881149804211,0.21973291452206067,3.248858512421629,0.0011586909531858013,0.012236995487195573,0.2832125511229539,1.144549748485468,0,0,1.0211551062419248,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,ACTIVATION_AGE,0.08113550951121762,Decreasing,0.5979831406733485,0.13568193481150054,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
105169,CREDIT_EXTENDED_LAST_MONTH_VALUE_woe,5,0.5506160916901496,0.16399481470085805,3.3575213502605252,0.0007864466956442213,0.012236995487195573,0.22919216122514802,0.8720400221551512,0,0,1.328100185783104,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,CREDIT_EXTENDED_LAST_MONTH_VALUE,0.16240301097593846,Decreasing,0.5979831406733485,0.27158459817624186,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
107200,const,5,-1.3565324931565905,0.04603922982905426,-29.464708645071976,8.15875724085068e-191,0.012236995487195573,-1.446767725497499,-1.266297260815682,0,0,,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,,,,0.5979831406733485,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
107200,AVG_TRAN_SIZE_1_MNTH_MONTHLY_woe,5,0.8213331615324985,0.26286316312298746,3.1245654650675267,0.0017806789356509553,0.012236995487195573,0.30613082894916577,1.3365354941158312,0,0,1.1718023950601824,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,AVG_TRAN_SIZE_1_MNTH_MONTHLY,0.08596407591152433,Decreasing,0.5979831406733485,0.14375668821486504,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
107200,CREDIT_RECOVERY_RATIO_3_MNTH_woe,5,0.8503090355109892,0.21462870583462215,3.961767519421087,7.439696234699931e-05,0.012236995487195573,0.4296445020266881,1.2709735689952903,0,0,1.1944719397117394,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,CREDIT_RECOVERY_RATIO_3_MNTH,0.13276385581354955,Decreasing,0.5979831406733485,0.2220193961723622,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
107200,FULL_SETTLED_TRXNS_3_BY_12_woe,5,0.3724274958967731,0.1486596871281831,2.5052353001096006,0.012236995487195573,0.012236995487195573,0.0810598631725416,0.6637951286210046,0,0,1.3347268819463582,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,FULL_SETTLED_TRXNS_3_BY_12,0.1357166884611185,Decreasing,0.5979831406733485,0.22695738262503037,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
107200,ACTIVATION_AGE_woe,5,0.713881149804211,0.21973291452206067,3.248858512421629,0.0011586909531858013,0.012236995487195573,0.2832125511229539,1.144549748485468,0,0,1.0211551062419248,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,ACTIVATION_AGE,0.08113550951121762,Decreasing,0.5979831406733485,0.13568193481150054,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
107200,CREDIT_EXTENDED_LAST_MONTH_VALUE_woe,5,0.5506160916901496,0.16399481470085805,3.3575213502605252,0.0007864466956442213,0.012236995487195573,0.22919216122514802,0.8720400221551512,0,0,1.328100185783104,1.3347268819463582,0.2576460655259296,0.24741195304162233,0.03972869753224875,CREDIT_EXTENDED_LAST_MONTH_VALUE,0.16240301097593846,Decreasing,0.5979831406733485,0.27158459817624186,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118429,const,5,-1.3748351330790127,0.04500504450367733,-30.548467360512795,5.925946617757658e-205,0.022071858267361938,-1.4630433994288425,-1.286626866729183,0,0,,1.9481545144497208,0.25628326252921063,0.2437633404482391,0.048848701057243565,,,,0.5863678487650676,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
