Sno,variables,Var,Description,Type,Trend_Business
1,TOTAL_KHATAS,TOTAL_KHATAS_woe,Total number of Khatas user has created,Numerical,Decreasing
2,KB_AGE,KB_AGE_woe,Time user is their in KB Platform since login (in days),Numerical,Decreasing
3,TOTAL_CUSTOMERS,TOTAL_CUSTOMERS_woe,Total customer added in Khatabook by the merchant,Numerical,Decreasing
4,NO_KB_CUSTOMERS,NO_KB_CUSTOMERS_woe,No of customers added by merchant who are also using KB App,Numerical,Decreasing
5,DAYS_SINCE_FIRST_CUST_ADDED,DAYS_SINCE_FIRST_CUST_ADDED_woe,Days since first customer addition,Numerical,Decreasing
6,DAYS_SINCE_LAST_CUST_ADDED,DAYS_SINCE_LAST_CUST_ADDED_woe,Days since last customer addition,Numerical,Increasing
7,TOTAL_TRXNS,TOTAL_TRXNS_woe,Total transactions user has done,Numerical,Decreasing
8,TOTAL_TXN_MONTHS,TOTAL_TXN_MONTHS_woe,Total unique months user did transactions,Numerical,Decreasing
9,ACTIVE_KHATAS,ACTIVE_KHATAS_woe,Total number of khatas user is actively using,Numerical,Decreasing
10,ACTIVE_DAYS,ACTIVE_DAYS_woe,Count of number of days on which user did transaction,Numerical,Decreasing
11,DEBIT_TRXNS,DEBIT_TRXNS_woe,Total number of debit transactions,Numerical,Decreasing
12,CREDIT_TRXNS,CREDIT_TRXNS_woe,Total number of credit transactions,Numerical,Decreasing
13,DEBIT_AMNT,DEBIT_AMNT_woe,Total amount debited,Numerical,Decreasing
14,CREDIT_AMNT,CREDIT_AMNT_woe,Total amount debited,Numerical,Decreasing
15,TOTAL_TXN_AMNT,TOTAL_TXN_AMNT_woe,Total Amount Transacted,Numerical,Decreasing
16,DAYS_SINCE_FIRST_TXN,DAYS_SINCE_FIRST_TXN_woe,Days between first transaction date and disbursement date,Numerical,Decreasing
17,DAYS_SINCE_LAST_TXN,DAYS_SINCE_LAST_TXN_woe,Days between last transaction date till disbursement date  and disbursement date,Numerical,Increasing
18,MONTHS_SINCE_FIRST_TXN,MONTHS_SINCE_FIRST_TXN_woe,Number of months between first transaction and disbusrement date,Numerical,Decreasing
19,MONTHS_SINCE_LAST_TXN,MONTHS_SINCE_LAST_TXN_woe,Months between last transaction date till disbursement date  and disbursement date,Numerical,Increasing
20,ACTIVATION_AGE,ACTIVATION_AGE_woe,Time from  second distinct day on which user did transaction,Numerical,Decreasing
21,D_1_TXNS,D_1_TXNS_woe,Last 1 day transactions,Numerical,Decreasing
22,D_30_TXNS,D_30_TXNS_woe,Last 30 day transactions,Numerical,Decreasing
23,AVG_TRXNS_CNT_L1MONTH_DAILY,AVG_TRXNS_CNT_L1MONTH_DAILY_woe,Average transactions in last 1 month at daily level,Numerical,Decreasing
24,AVG_TRXNS_CNT_L2MONTH_DAILY,AVG_TRXNS_CNT_L2MONTH_DAILY_woe,Average transactions in last 2 months at daily level,Numerical,Decreasing
25,AVG_TRXNS_CNT_L3MONTH_DAILY,AVG_TRXNS_CNT_L3MONTH_DAILY_woe,Average transactions in last 3 months at daily level,Numerical,Decreasing
26,AVG_TRXNS_CNT_L6MONTH_DAILY,AVG_TRXNS_CNT_L6MONTH_DAILY_woe,Average transactions in last 6 months at daily level,Numerical,Decreasing
27,AVG_TRXNS_CNT_L12MONTH_DAILY,AVG_TRXNS_CNT_L12MONTH_DAILY_woe,Average transactions in last 12 months at daily level,Numerical,Decreasing
28,AVG_TRXNS_AMOUNT_L1MONTH_DAILY,AVG_TRXNS_AMOUNT_L1MONTH_DAILY_woe,Average transaction amount in last 1 month at daily level,Numerical,Decreasing
29,AVG_TRXNS_AMT_L2MONTH_DAILY,AVG_TRXNS_AMT_L2MONTH_DAILY_woe,Average transaction amount in last 2 months at daily level,Numerical,Decreasing
30,AVG_TRXNS_AMT_L3MONTH_DAILY,AVG_TRXNS_AMT_L3MONTH_DAILY_woe,Average transaction amount in last 3 months at daily level,Numerical,Decreasing
31,AVG_TRXNS_AMT_L6MONTH_DAILY,AVG_TRXNS_AMT_L6MONTH_DAILY_woe,Average transaction amount in last 6 months at daily level,Numerical,Decreasing
32,AVG_TRXNS_AMT_L12MONTH_DAILY,AVG_TRXNS_AMT_L12MONTH_DAILY_woe,Average transaction amount in last 12 months at daily level,Numerical,Decreasing
33,AVG_CREDIT_TRXNS_CNT_L1MONTH_DAILY,AVG_CREDIT_TRXNS_CNT_L1MONTH_DAILY_woe,Average credit transactions in last 1 month at daily level,Numerical,Decreasing
34,AVG_CREDIT_TRXNS_CNT_L2MONTH_DAILY,AVG_CREDIT_TRXNS_CNT_L2MONTH_DAILY_woe,Average credit transactions in last 2 months at daily level,Numerical,Decreasing
35,AVG_CREDIT_TRXNS_CNT_L3MONTH_DAILY,AVG_CREDIT_TRXNS_CNT_L3MONTH_DAILY_woe,Average credit transactions in last 3 months at daily level,Numerical,Decreasing
36,AVG_CREDIT_TRXNS_CNT_L6MONTH_DAILY,AVG_CREDIT_TRXNS_CNT_L6MONTH_DAILY_woe,Average credit transactions in last 6 months at daily level,Numerical,Decreasing
37,AVG_CREDIT_TRXNS_CNT_L12MONTH_DAILY,AVG_CREDIT_TRXNS_CNT_L12MONTH_DAILY_woe,Average credit transactions in last 12 months at daily level,Numerical,Decreasing
38,AVG_DEBIT_TRXNS_CNT_L1MONTH_DAILY,AVG_DEBIT_TRXNS_CNT_L1MONTH_DAILY_woe,Average debit transactions in last 1 month at daily level,Numerical,Decreasing
