variable,var,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,Prop_iv,Max_IV_test,IV_test,breaks,is_special_values,counter,num_bin,Trend,Trend_Business,Gini_train,Gini_oot,Relative_diff,keep
BUREAUSCORE,BUREAUSCORE_woe,-99999.0,26,0.0070709817786238785,20,6,0.23076923076923078,0.19323571697463315,0.0002794559787841377,0.129427743286544,0.002159165969273231,0,0,-99999.0,True,1,5,Decreasing,Decreasing,0.18000206598879886,0.1020576131687243,0.4330247378893031,1
BUREAUSCORE,BUREAUSCORE_woe,"[-inf,690.0)",568,0.1544737557791678,389,179,0.31514084507042256,0.6210149835228778,0.07053983200475047,0.129427743286544,0.5450132267900261,0,0,690.0,False,2,5,Decreasing,Decreasing,0.18000206598879886,0.1020576131687243,0.4330247378893031,1
BUREAUSCORE,BUREAUSCORE_woe,"[690.0,740.0)",705,0.19173239053576285,542,163,0.23120567375886525,0.1956927206676852,0.0077769274192748955,0.129427743286544,0.060087020153455975,0,0,740.0,False,3,5,Decreasing,Decreasing,0.18000206598879886,0.1020576131687243,0.4330247378893031,1
BUREAUSCORE,BUREAUSCORE_woe,"[740.0,850.0)",2249,0.6116399238509654,1880,369,0.16407292129835482,-0.23102189048289856,0.030390386551454877,0.129427743286544,0.23480581349682256,0,0,850.0,False,4,5,Decreasing,Decreasing,0.18000206598879886,0.1020576131687243,0.4330247378893031,1
BUREAUSCORE,BUREAUSCORE_woe,"[850.0,inf)",129,0.03508294805548001,117,12,0.09302325581395349,-0.8800587637091867,0.020441141332279616,0.129427743286544,0.15793477359042224,0,0,inf,False,5,5,Decreasing,Decreasing,0.18000206598879886,0.1020576131687243,0.4330247378893031,1
MAX_DPD_LAST_9_MONTHS,MAX_DPD_LAST_9_MONTHS_woe,"[-inf,1.0)",2922,0.7946695675822681,2398,524,0.17932922655715264,-0.12369012996584841,0.011706030050716264,0.05283281966117212,0.22156739174228204,0,0,1.0,False,1,3,Increasing,Increasing,0.09711310637236559,0.04921588254921594,0.49327727933212817,1
MAX_DPD_LAST_9_MONTHS,MAX_DPD_LAST_9_MONTHS_woe,"[1.0,3.0)",269,0.0731574653249932,203,66,0.24535315985130113,0.27365728428520725,0.005931449169830439,0.05283281966117212,0.11226826824443704,0,0,3.0,False,2,3,Increasing,Increasing,0.09711310637236559,0.04921588254921594,0.49327727933212817,1
MAX_DPD_LAST_9_MONTHS,MAX_DPD_LAST_9_MONTHS_woe,"[3.0,inf)",486,0.13217296709273865,347,139,0.28600823045267487,0.4823576744844017,0.03519534044062542,0.05283281966117212,0.666164340013281,0,0,inf,False,3,3,Increasing,Increasing,0.09711310637236559,0.04921588254921594,0.49327727933212817,1
MAX_DPD_LAST_12_MONTHS,MAX_DPD_LAST_12_MONTHS_woe,"[-inf,1.0)",2736,0.7440848517813435,2248,488,0.1783625730994152,-0.13027228385986545,0.012133655755854818,0.04652321268514513,0.26080863843113516,0,0,1.0,False,1,3,Increasing,Increasing,0.09736111809080294,0.09102435769102435,0.06505914168150509,1
MAX_DPD_LAST_12_MONTHS,MAX_DPD_LAST_12_MONTHS_woe,"[1.0,3.0)",350,0.09518629317378298,270,80,0.22857142857142856,0.18081319697607595,0.0032820943980233146,0.04652321268514513,0.07054745810947162,0,0,3.0,False,2,3,Increasing,Increasing,0.09736111809080294,0.09102435769102435,0.06505914168150509,1
MAX_DPD_LAST_12_MONTHS,MAX_DPD_LAST_12_MONTHS_woe,"[3.0,inf)",591,0.16072885504487353,430,161,0.272419627749577,0.414827677597424,0.031107462531266998,0.04652321268514513,0.6686439034593932,0,0,inf,False,3,3,Increasing,Increasing,0.09736111809080294,0.09102435769102435,0.06505914168150509,1
