Model_no,variable,Num_factors,Coef.,Std.Err.,z,P>|z|,Max_pvalue,[0.025,0.975],sign,sign_max,VIF,VIF_max,dev_gini,oot_gini,Relative_diff,Average_precision,var,Gini_train,Trend,sum_gini,Factor_weight,ACCOUNT_TYPE_COUNT,AMOUNT_PAST_DUE_SUM,BUREAUSCORE,CREDIT_CARDS_COUNT,DAYS_SINCE_LAST_PAYMENT,MAX_DPD_LAST_12_MONTHS,MAX_DPD_LAST_12_MONTHS_ACTIVE,MAX_DPD_LAST_12_MONTHS_UNSECURED,MAX_DPD_LAST_24_MONTHS,MAX_DPD_LAST_24_MONTHS_ACTIVE,MAX_DPD_LAST_24_MONTHS_SECURED,MAX_DPD_LAST_24_MONTHS_UNSECURED,MAX_DPD_LAST_6_MONTHS,MAX_DPD_LAST_6_MONTHS_UNSECURED,MAX_DPD_LAST_9_MONTHS,MAX_DPD_LAST_9_MONTHS_UNSECURED,NO_OF_TIMES_30_DPD_12MONTHS,NO_OF_TIMES_30_DPD_12MONTHS_ACTIVE,NO_OF_TIMES_30_DPD_6MONTHS,NO_OF_TIMES_30_DPD_9MONTHS,NO_OF_TIMES_60_DPD_12MONTHS,NO_OF_TIMES_60_DPD_12MONTHS_ACTIVE,NO_OF_TIMES_60_DPD_9MONTHS,NO_OF_TIMES_90_DPD_12MONTHS,PAYMENT_WITHOUT_DPD_LAST_6_MONTHS
25535,const,3,-1.3970224144415164,0.042703493636716494,-32.714475923823606,9.722941023015781e-235,1.1551336395396154e-06,-1.4807197239835161,-1.3133251048995167,0,0,,1.3723790868355552,0.28348344324021535,0.16150595039483906,0.4302557066856307,0.28837089305784835,,,,0.43595574316967345,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25535,AMOUNT_PAST_DUE_SUM_woe,3,0.6952693472819063,0.14296592307264885,4.863182304839186,1.1551336395396154e-06,1.1551336395396154e-06,0.41506128704299056,0.9754774075208219,0,0,1.3527989985163344,1.3723790868355552,0.28348344324021535,0.16150595039483906,0.4302557066856307,0.28837089305784835,AMOUNT_PAST_DUE_SUM,0.14377281195965552,Increasing,0.43595574316967345,0.3297876314562034,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25535,BUREAUSCORE_woe,3,0.8496607981422125,0.13429069064538515,6.327026795817665,2.4992996793367306e-10,1.1551336395396154e-06,0.5864558810182476,1.1128657152661774,0,0,1.3723790868355552,1.3723790868355552,0.28348344324021535,0.16150595039483906,0.4302557066856307,0.28837089305784835,BUREAUSCORE,0.18000206598879886,Decreasing,0.43595574316967345,0.4128906862886361,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25535,CREDIT_CARDS_COUNT_woe,3,1.4122707596087127,0.1929486857978979,7.319411136533892,2.490614431527667e-13,1.1551336395396154e-06,1.0340982845804978,1.7904432346369277,0,0,1.0574845736095138,1.3723790868355552,0.28348344324021535,0.16150595039483906,0.4302557066856307,0.28837089305784835,CREDIT_CARDS_COUNT,0.11218086522121906,Decreasing,0.43595574316967345,0.2573216822551605,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28991,const,3,-1.400174067510956,0.04257363981803912,-32.88828658990252,3.2321233919129476e-237,0.04244645462566407,-1.483616868245093,-1.316731266776819,0,0,,1.3503061160343695,0.2615132344264466,0.16863530196863574,0.35517373788837797,0.2750679927257592,,,,0.3792471425141406,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28991,BUREAUSCORE_woe,3,1.0382893420486334,0.13334795210885303,7.786316367281511,6.899107131467661e-15,0.04244645462566407,0.7769321585031095,1.2996465255941574,0,0,1.3503061160343695,1.3503061160343695,0.2615132344264466,0.16863530196863574,0.35517373788837797,0.2750679927257592,BUREAUSCORE,0.18000206598879886,Decreasing,0.3792471425141406,0.47462998612332935,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28991,NO_OF_TIMES_30_DPD_12MONTHS_ACTIVE_woe,3,0.39816308507816434,0.1962248795659821,2.0291162158378544,0.04244645462566407,0.04244645462566407,0.01356938825812981,0.7827567818981989,0,0,1.3099927246033802,1.3503061160343695,0.2615132344264466,0.16863530196863574,0.35517373788837797,0.2750679927257592,NO_OF_TIMES_30_DPD_12MONTHS_ACTIVE,0.08706421130412267,Increasing,0.3792471425141406,0.2295711728424596,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28991,CREDIT_CARDS_COUNT_woe,3,1.3570534456293704,0.1916243060077629,7.081844020217324,1.4224871967068523e-12,0.04244645462566407,0.9814767072916728,1.732630183967068,0,0,1.0507267475265039,1.3503061160343695,0.2615132344264466,0.16863530196863574,0.35517373788837797,0.2750679927257592,CREDIT_CARDS_COUNT,0.11218086522121906,Decreasing,0.3792471425141406,0.29579884103421106,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29567,const,3,-1.4002170130967238,0.04257593774285361,-32.88752021279321,3.314699975039861e-237,0.038232532770816445,-1.4836643176807365,-1.316769708512711,0,0,,1.3354423614819613,0.2612596389544981,0.16864642420198006,0.35443250957718353,0.2729113647834958,,,,0.3788176588066028,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29567,BUREAUSCORE_woe,3,1.0386925519289458,0.13262303969531616,7.8319163421016755,4.804892231585443e-15,0.038232532770816445,0.7787561706059002,1.2986289332519916,0,0,1.3354423614819613,1.3354423614819613,0.2612596389544981,0.16864642420198006,0.35443250957718353,0.2729113647834958,BUREAUSCORE,0.18000206598879886,Decreasing,0.3788176588066028,0.47516809685130085,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
