Sno,variables,Type,Trend_Business,Trend_sign
1,BUREAUSCORE,Numerical,Decreasing,-1
2,CREDITACCOUNTTOTAL,Numerical,Increasing,1
3,CREDITACCOUNTACTIVE,Numerical,Increasing,1
5,CREDITACCOUNTCLOSED,Numerical,Decreasing,-1
7,OUTSTANDING_BALANCE_SECURED,Numerical,Decreasing,-1
8,OUTSTANDING_BALANCE_SECURED_PERCENTAGE,Numerical,Decreasing,-1
9,OUTSTANDING_BALANCE_UNSECURED,Numerical,Increasing,1
10,OUTSTANDING_BALANCE_UNSECURED_PERCENTAGE,Numerical,Increasing,1
11,OUTSTANDING_BALANCE_ALL,Numerical,Increasing,1
12,ACCOUNT_TYPE_COUNT,Numerical,Decreasing,-1
13,CREDIT_CARDS_COUNT,Numerical,Decreasing,-1
14,SECURED_ACCOUNT_COUNT,Numerical,Decreasing,-1
15,UNSECURED_ACCOUNT_COUNT,Numerical,Increasing,1
16,CREDIT_LIMIT_AMOUNT_MAX,Numerical,Decreasing,-1
17,CREDIT_LIMIT_AMOUNT_AVG,Numerical,Decreasing,-1
18,HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_SUM,Numerical,Increasing,1
19,HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_AVG,Numerical,Increasing,1
20,HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_MAX,Numerical,Increasing,1
21,TERMS_DURATION_AVG,Numerical,Decreasing,-1
22,TERMS_DURATION_MAX,Numerical,Decreasing,-1
26,ACCOUNT_STATUS_ACTIVE,Numerical,Decreasing,-1
27,ACCOUNT_STATUS_CLOSED,Numerical,Decreasing,-1
28,CURRENT_BALANCE_SUM,Numerical,Increasing,1
29,CURRENT_BALANCE_AVG,Numerical,Increasing,1
30,CURRENT_BALANCE_MAX,Numerical,Increasing,1
31,CURRENT_BALANCE_MIN,Numerical,Increasing,1
32,AMOUNT_PAST_DUE_SUM,Numerical,Increasing,1
33,AMOUNT_PAST_DUE_AVG,Numerical,Increasing,1
34,AMOUNT_PAST_DUE_MAX,Numerical,Increasing,1
39,DAYS_SINCE_LAST_PAYMENT,Numerical,Increasing,1
45,SETTLEMENT_AMOUNT_SUM,Numerical,Increasing,1
46,SETTLEMENT_AMOUNT_AVG,Numerical,Increasing,1
47,SETTLEMENT_AMOUNT_MAX,Numerical,Increasing,1
48,VALUE_OF_COLLATERAL_SUM,Numerical,Decreasing,-1
49,VALUE_OF_COLLATERAL_AVG,Numerical,Decreasing,-1
50,VALUE_OF_COLLATERAL_MAX,Numerical,Decreasing,-1
52,WRITTEN_OFF_AMT_TOTAL_SUM,Numerical,Increasing,1
53,WRITTEN_OFF_AMT_TOTAL_AVG,Numerical,Increasing,1
54,WRITTEN_OFF_AMT_TOTAL_MAX,Numerical,Increasing,1
55,WRITTEN_OFF_AMT_PRINCIPAL_SUM,Numerical,Increasing,1
56,WRITTEN_OFF_AMT_PRINCIPAL_AVG,Numerical,Increasing,1
57,WRITTEN_OFF_AMT_PRINCIPAL_MAX,Numerical,Increasing,1
58,RATE_OF_INTEREST_AVG,Numerical,Increasing,1
59,RATE_OF_INTEREST_MAX,Numerical,Increasing,1
60,RATE_OF_INTEREST_MIN,Numerical,Increasing,1
61,REPAYMENT_TENURE_AVG,Numerical,Increasing,1
62,REPAYMENT_TENURE_MAX,Numerical,Increasing,1
67,MAX_DPD_LAST_3_MONTHS,Numerical,Increasing,1
71,MAX_DPD_LAST_24_MONTHS,Numerical,Increasing,1
73,MAX_DPD_LAST_3_MONTHS_ACTIVE,Numerical,Increasing,1
74,MAX_DPD_LAST_6_MONTHS_ACTIVE,Numerical,Increasing,1
75,MAX_DPD_LAST_9_MONTHS_ACTIVE,Numerical,Increasing,1
77,MAX_DPD_LAST_24_MONTHS_ACTIVE,Numerical,Increasing,1
81,NO_OF_TIMES_30_DPD_12MONTHS,Numerical,Increasing,1
85,NO_OF_TIMES_30_DPD_12MONTHS_ACTIVE,Numerical,Increasing,1
97,NO_OF_TIMES_90_DPD_12MONTHS,Numerical,Increasing,1
101,NO_OF_TIMES_90_DPD_12MONTHS_ACTIVE,Numerical,Increasing,1
102,MONTHS_SINCE_30_DPD,Numerical,Decreasing,-1
103,MONTHS_SINCE_60_DPD,Numerical,Decreasing,-1
104,MONTHS_SINCE_90_DPD,Numerical,Decreasing,-1
105,MONTHS_SINCE_30_DPD_ACTIVE,Numerical,Decreasing,-1
106,MONTHS_SINCE_60_DPD_ACTIVE,Numerical,Decreasing,-1
107,MONTHS_SINCE_90_DPD_ACTIVE,Numerical,Decreasing,-1
108,TOTALCAPSLAST7DAYS,Numerical,Increasing,1
109,TOTALCAPSLAST30DAYS,Numerical,Increasing,1
110,TOTALCAPSLAST90DAYS,Numerical,Increasing,1
111,TOTALCAPSLAST180DAYS,Numerical,Increasing,1
117,AGE_OF_OLDEST_ACCOUNT_DAYS,Numerical,Decreasing,-1
118,ACCOUNT_OPEN_1MONTH,Numerical,Decreasing,-1
119,ACCOUNT_OPEN_2MONTHS,Numerical,Decreasing,-1
120,ACCOUNT_OPEN_3MONTHS,Numerical,Decreasing,-1
121,ACCOUNT_OPEN_6MONTHS,Numerical,Decreasing,-1
122,ACCOUNT_OPEN_12MONTHS,Numerical,Decreasing,-1
124,MAX_DPD_LAST_3_MONTHS_SECURED,Numerical,Increasing,1
127,MAX_DPD_LAST_12_MONTHS_SECURED,Numerical,Increasing,1
128,MAX_DPD_LAST_24_MONTHS_SECURED,Numerical,Increasing,1
131,MAX_DPD_LAST_6_MONTHS_UNSECURED,Numerical,Increasing,1
132,MAX_DPD_LAST_9_MONTHS_UNSECURED,Numerical,Increasing,1
133,MAX_DPD_LAST_12_MONTHS_UNSECURED,Numerical,Increasing,1
134,MAX_DPD_LAST_24_MONTHS_UNSECURED,Numerical,Increasing,1
136,PAYMENT_WITHOUT_DPD_LAST_3_MONTHS,Numerical,Decreasing,-1
137,PAYMENT_WITHOUT_DPD_LAST_6_MONTHS,Numerical,Decreasing,-1
138,PAYMENT_WITHOUT_DPD_LAST_9_MONTHS,Numerical,Decreasing,-1
139,PAYMENT_WITHOUT_DPD_LAST_12_MONTHS,Numerical,Decreasing,-1
