variable,var,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,Prop_iv,Max_IV_test,IV_test,breaks,is_special_values,counter,num_bin,Trend,Trend_Business,Gini_train,Gini_oot,Relative_diff,keep
TOTAL_TRXNS,TOTAL_TRXNS_woe,"[-inf,200.0)",545,0.16220238095238096,478,67,0.12293577981651377,0.5261304664526706,0.0561149268426462,0.1349785405196268,0.4157322091839236,0,0,200.0,False,1,4,Decreasing,Decreasing,0.2014330301666143,0.0726157860404435,0.6396089579253763,1
TOTAL_TRXNS,TOTAL_TRXNS_woe,"[200.0,1000.0)",1180,0.35119047619047616,1077,103,0.08728813559322034,0.14384289062640765,0.007723606973322891,0.1349785405196268,0.05722099930544016,0,0,1000.0,False,2,4,Decreasing,Decreasing,0.2014330301666143,0.0726157860404435,0.6396089579253763,1
TOTAL_TRXNS,TOTAL_TRXNS_woe,"[1000.0,2600.0)",789,0.23482142857142857,741,48,0.060836501901140684,-0.24575103483503558,0.012786606269582381,0.1349785405196268,0.09473066029872447,0,0,2600.0,False,3,4,Decreasing,Decreasing,0.2014330301666143,0.0726157860404435,0.6396089579253763,1
TOTAL_TRXNS,TOTAL_TRXNS_woe,"[2600.0,inf)",846,0.2517857142857143,807,39,0.04609929078014184,-0.5387134425871419,0.05835340043407534,0.1349785405196268,0.43231613121191187,0,0,inf,False,4,4,Decreasing,Decreasing,0.2014330301666143,0.0726157860404435,0.6396089579253763,1
D_1_TXNS,D_1_TXNS_woe,"[-inf,2.0)",1700,0.5059523809523809,1530,170,0.1,0.2938240022169411,0.04948212975485653,0.1272788517020117,0.3887694545729033,0,0,2.0,False,1,3,Decreasing,Decreasing,0.17705596817940705,0.12857142857142856,0.27376928067746187,1
D_1_TXNS,D_1_TXNS_woe,"[2.0,24.0)",1409,0.4193452380952381,1331,78,0.05535841022001419,-0.3459284121523596,0.04339249559273878,0.1272788517020117,0.3409246313309797,0,0,24.0,False,2,3,Decreasing,Decreasing,0.17705596817940705,0.12857142857142856,0.27376928067746187,1
D_1_TXNS,D_1_TXNS_woe,"[24.0,inf)",251,0.07470238095238095,242,9,0.035856573705179286,-0.8006645692673066,0.03440422635441639,0.1272788517020117,0.270305914096117,0,0,inf,False,3,3,Decreasing,Decreasing,0.17705596817940705,0.12857142857142856,0.27376928067746187,1
AVG_TRXNS_AMOUNT_L1MONTH_MONTHLY,AVG_TRXNS_AMOUNT_L1MONTH_MONTHLY_woe,"[-inf,20000.0)",869,0.2586309523809524,778,91,0.1047180667433832,0.34518156189161897,0.03567813826714763,0.10380776371365476,0.3436943152495112,0,0,20000.0,False,1,3,Decreasing,Decreasing,0.1696688657016996,0.16260926288323563,0.04160048802866212,1
AVG_TRXNS_AMOUNT_L1MONTH_MONTHLY,AVG_TRXNS_AMOUNT_L1MONTH_MONTHLY_woe,"[20000.0,100000.0)",1047,0.31160714285714286,956,91,0.08691499522445081,0.1391501730186093,0.00640044277032721,0.10380776371365476,0.061656686757864364,0,0,100000.0,False,2,3,Decreasing,Decreasing,0.1696688657016996,0.16260926288323563,0.04160048802866212,1
AVG_TRXNS_AMOUNT_L1MONTH_MONTHLY,AVG_TRXNS_AMOUNT_L1MONTH_MONTHLY_woe,"[100000.0,inf)",1444,0.4297619047619048,1369,75,0.05193905817174515,-0.413299132198978,0.06172918267617992,0.10380776371365476,0.5946489979926244,0,0,inf,False,3,3,Decreasing,Decreasing,0.1696688657016996,0.16260926288323563,0.04160048802866212,1
AVG_TXN_CNT_WITH_KB_COUNTERPARTY_USERS_2MNTH_MONTHLY,AVG_TXN_CNT_WITH_KB_COUNTERPARTY_USERS_2MNTH_MONTHLY_woe,"[-inf,10.0)",1619,0.4818452380952381,1467,152,0.09388511426806671,0.22395432225645506,0.026576972949968265,0.062329782297181086,0.42639284095767216,0,0,10.0,False,1,3,Decreasing,Decreasing,0.1297087919184523,0.08146118721461182,0.37199386818689656,1
AVG_TXN_CNT_WITH_KB_COUNTERPARTY_USERS_2MNTH_MONTHLY,AVG_TXN_CNT_WITH_KB_COUNTERPARTY_USERS_2MNTH_MONTHLY_woe,"[10.0,55.0)",1110,0.33035714285714285,1038,72,0.06486486486486487,-0.1773363651566183,0.009639888384078423,0.062329782297181086,0.15465942650203024,0,0,55.0,False,2,3,Decreasing,Decreasing,0.1297087919184523,0.08146118721461182,0.37199386818689656,1
